Variable,All,Female,Male,p-value
<b>Totals</b>,591,70,521,
<b><i>DEMOGRAPHICS</i></b>,,,,
<b>Gender</b> (†),,,,
   ↳ Man,121 (28.9) | 419,16 (29.6) | 54,105 (28.8) | 365,0.874
   ↳ Woman,169 (40.3) | 419,26 (48.1) | 54,143 (39.2) | 365,0.235
   ↳ Non-binary,67 (16.0) | 419,7 (13.0) | 54,60 (16.4) | 365,0.691
   ↳ Other,62 (14.8) | 419,5 (9.3) | 54,57 (15.6) | 365,0.304
<b>Is the date of birth known?</b> (†),323 (57.9) | 558,37 (53.6) | 69,286 (58.5) | 489,0.515
<b>Age</b> (+),39.6 (7.4-67.5) | 223,33.6 (7.0-64.0) | 30,41.0 (7.5-67.7) | 193,<0.001 (**)
<b>Height </b> (+),124.0 (66.4-184.8) | 568,124.8 (71.5-173.5) | 64,124.0 (66.4-186.9) | 504,<0.001 (**)
<b>Weight </b> (+),833.2 (401.4-1307.9) | 560,896.6 (420.4-1486.1) | 68,833.2 (399.4-1280.7) | 492,<0.001 (**)
<b>Race (select all that apply)</b>,,,,
   ↳ Aboriginal/First Nations/Indigenous,278 (49.6) | 561,33 (50.8) | 65,245 (49.4) | 496,0.895
   ↳ Arab,279 (49.7) | 561,39 (60.0) | 65,240 (48.4) | 496,0.087
   ↳ Black or African Descent,258 (46.0) | 561,33 (50.8) | 65,225 (45.4) | 496,0.430
"   ↳ Brown (Mixed/Multiracial, incl. Latin American Pardo)",280 (49.9) | 561,36 (55.4) | 65,244 (49.2) | 496,0.359
   ↳ East Asian (incl. Brazilian Yellow/Amarelo),280 (49.9) | 561,35 (53.8) | 65,245 (49.4) | 496,0.513
   ↳ Latin American or Hispanic,291 (51.9) | 561,30 (46.2) | 65,261 (52.6) | 496,0.357
   ↳ South Asian,294 (52.4) | 561,33 (50.8) | 65,261 (52.6) | 496,0.793
   ↳ South-East Asian,281 (50.1) | 561,30 (46.2) | 65,251 (50.6) | 496,0.513
   ↳ West Asian,288 (51.3) | 561,33 (50.8) | 65,255 (51.4) | 496,1.000
   ↳ White,287 (51.2) | 561,32 (49.2) | 65,255 (51.4) | 496,0.792
   ↳ Other,296 (52.8) | 561,35 (53.8) | 65,261 (52.6) | 496,0.895
<b>Primary location of occupation</b> (†),,,,
   ↳ Indoors-office/health/education/hospitality/business/homes,49 (9.9) | 495,4 (6.6) | 61,45 (10.4) | 434,0.492
   ↳ Indoors-factory,104 (21.0) | 495,13 (21.3) | 61,91 (21.0) | 434,1.000
"   ↳ Outdoors-animal contact (vet, animal farmer, abattoir worker)",155 (31.3) | 495,24 (39.3) | 61,131 (30.2) | 434,0.184
   ↳ Outdoors-agriculture/forestry/fisheries,43 (8.7) | 495,5 (8.2) | 61,38 (8.8) | 434,1.000
   ↳ Outdoors-construction/industrial/mining,10 (2.0) | 495,2 (3.3) | 61,8 (1.8) | 434,0.355
   ↳ Armed Forces,50 (10.1) | 495,2 (3.3) | 61,48 (11.1) | 434,0.068
   ↳ Student,31 (6.3) | 495,5 (8.2) | 61,26 (6.0) | 434,0.569
   ↳ Other,53 (10.7) | 495,6 (9.8) | 61,47 (10.8) | 434,1.000
<b>Patient's city of residence</b> (†),,,,
   ↳ Same as health care facility,132 (29.7) | 445,24 (42.9) | 56,108 (27.8) | 389,0.028 (*)
   ↳ Different from health care facility,313 (70.3) | 445,32 (57.1) | 56,281 (72.2) | 389,0.028 (*)
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,,
<b>Chronic neurological disorder</b> (†),175 (36.9) | 474,27 (44.3) | 61,148 (35.8) | 413,0.205
<b>Dementia</b> (†),324 (58.2) | 557,33 (50.0) | 66,291 (59.3) | 491,0.184
