Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,215,402,383
<b><i>EXPOSURE HISTORY IN PREVIOUS 14 DAYS</i></b>,,,,
<b>History of contact with suspected or confirmed human case of same pathogen?</b> (*), 902 (97.5) |  925,193 (96.5) | 200,362 (97.3) | 372,347 (98.3) | 353
<b>Contact setting</b> (*),,,,
   ↳ Household, 231 (24.4) |  946, 50 (24.0) | 208, 89 (23.5) | 378, 92 (25.6) | 360
   ↳ Occupational, 100 (10.6) |  946, 19 ( 9.1) | 208, 38 (10.1) | 378, 43 (11.9) | 360
   ↳ Healthcare facility, 458 (48.4) |  946,100 (48.1) | 208,188 (49.7) | 378,170 (47.2) | 360
   ↳ Other, 157 (16.6) |  946, 39 (18.8) | 208, 63 (16.7) | 378, 55 (15.3) | 360
"<b>Any contact with animals, animal homes, meats or other animal products in the last 14 days?</b> (*)", 231 (25.6) |  901, 48 (23.9) | 201, 98 (27.2) | 360, 85 (25.0) | 340
<b>Contact with livestock</b> (*),  60 (33.7) |  178, 10 (27.0) |  37, 24 (33.8) |  71, 26 (37.1) |  70
"<b> Contact with poultry (e.g. chickens, turkeys, ducks)</b> (*)",  24 (53.3) |   45,  3 (50.0) |   6,  8 (50.0) |  16, 13 (56.5) |  23
<b> Contact with dairy cows and/or milking equipment</b> (*),  16 (31.4) |   51,  0 ( 0.0) |   8,  4 (20.0) |  20, 12 (52.2) |  23
<b> Contact with cattle other than dairy cows </b> (*),  39 (72.2) |   54,  5 (55.6) |   9, 17 (77.3) |  22, 17 (73.9) |  23
<b> Contact with pigs</b> (*),  14 (30.4) |   46,  3 (37.5) |   8,  6 (40.0) |  15,  5 (21.7) |  23
<b> Specify type of contact</b>,,,,
   ↳ Hunting,  29 (16.3) |  178,  6 (16.2) |  37, 13 (18.3) |  71, 10 (14.3) |  70
   ↳ Preparing,  18 (10.1) |  178,  4 (10.8) |  37,  7 ( 9.9) |  71,  7 (10.0) |  70
   ↳ Handling,  21 (11.8) |  178,  3 ( 8.1) |  37, 10 (14.1) |  71,  8 (11.4) |  70
   ↳ Consumption (unprocessed / undercooked / raw),  23 (12.9) |  178,  3 ( 8.1) |  37,  9 (12.7) |  71, 11 (15.7) |  70
   ↳ Trading,  25 (14.0) |  178,  3 ( 8.1) |  37, 11 (15.5) |  71, 11 (15.7) |  70
   ↳ Animal faeces or nests,  17 ( 9.6) |  178,  2 ( 5.4) |  37,  8 (11.3) |  71,  7 (10.0) |  70
   ↳ Sick or dead animal,  14 ( 7.9) |  178,  2 ( 5.4) |  37,  5 ( 7.0) |  71,  7 (10.0) |  70
   ↳ Other,   9 ( 5.1) |  178,  3 ( 8.1) |  37,  4 ( 5.6) |  71,  2 ( 2.9) |  70
   ↳ Unknown,   1 ( 0.6) |  178,  0 ( 0.0) |  37,  1 ( 1.4) |  71,  0 ( 0.0) |  70
<b>Contact with non-human primates</b> (*), 125 (61.0) |  205, 21 (50.0) |  42, 59 (66.3) |  89, 45 (60.8) |  74
<b> Contact with monkeys</b> (*),  89 (84.8) |  105, 13 (76.5) |  17, 47 (88.7) |  53, 29 (82.9) |  35
<b> Contact with apes</b> (*),  24 (21.8) |  110,  4 (22.2) |  18, 11 (21.2) |  52,  9 (22.5) |  40
<b> Specify type of contact</b>,,,,
   ↳ Hunting,  78 (38.0) |  205,  9 (21.4) |  42, 38 (42.7) |  89, 31 (41.9) |  74
   ↳ Preparing,   8 ( 3.9) |  205,  3 ( 7.1) |  42,  0 ( 0.0) |  89,  5 ( 6.8) |  74
   ↳ Handling,   6 ( 2.9) |  205,  1 ( 2.4) |  42,  4 ( 4.5) |  89,  1 ( 1.4) |  74
   ↳ Consumption (unprocessed / undercooked / raw),  16 ( 7.8) |  205,  3 ( 7.1) |  42,  9 (10.1) |  89,  4 ( 5.4) |  74
   ↳ Trading,  80 (39.0) |  205,  9 (21.4) |  42, 41 (46.1) |  89, 30 (40.5) |  74
   ↳ Animal faeces or nests,   6 ( 2.9) |  205,  1 ( 2.4) |  42,  4 ( 4.5) |  89,  1 ( 1.4) |  74
   ↳ Sick or dead animal,  36 (17.6) |  205,  5 (11.9) |  42, 21 (23.6) |  89, 10 (13.5) |  74
