Variable,All,Discharged,Death,Censored
<b>Totals</b>,39,24,13,2
<b><i>SIGNS AND SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever / chills / rigors</b> (*),38 (97.4) | 39,23 (95.8) | 24,13 (100.) | 13,2 (100.) | 2
<b>Restlessness</b> (*),16 (42.1) | 38,13 (56.5) | 23, 3 (23.1) | 13,0 ( 0.0) | 2
<b>Fatigue / malaise / lethargy</b> (*),29 (74.4) | 39,18 (75.0) | 24,10 (76.9) | 13,1 (50.0) | 2
<b>Muscle aches / myalgia</b> (*),23 (59.0) | 39,17 (70.8) | 24, 5 (38.5) | 13,1 (50.0) | 2
<b>Joint pain / arthralgia</b> (*),24 (61.5) | 39,17 (70.8) | 24, 6 (46.2) | 13,1 (50.0) | 2
<b>Skin rash</b> (*), 2 ( 5.1) | 39, 2 ( 8.3) | 24, 0 ( 0.0) | 13,0 ( 0.0) | 2
<b>Jaundice</b> (*),18 (46.2) | 39,11 (45.8) | 24, 6 (46.2) | 13,1 (50.0) | 2
<b>Cough</b> (*), 1 ( 2.6) | 39, 0 ( 0.0) | 24, 1 ( 7.7) | 13,0 ( 0.0) | 2
<b>Shortness of breath </b> (*), 3 ( 7.7) | 39, 1 ( 4.2) | 24, 2 (15.4) | 13,0 ( 0.0) | 2
<b>Abdominal pain</b> (*),19 (48.7) | 39,13 (54.2) | 24, 5 (38.5) | 13,1 (50.0) | 2
<b>Diarrhoea</b> (*),12 (30.8) | 39, 9 (37.5) | 24, 1 ( 7.7) | 13,2 (100.) | 2
<b>Vomiting</b> (*),16 (41.0) | 39, 9 (37.5) | 24, 6 (46.2) | 13,1 (50.0) | 2
<b>Persistent vomiting? (>=2/day)</b> (*), 5 (31.2) | 16, 2 (22.2) |  9, 2 (33.3) |  6,1 (100.) | 1
<b>Anorexia</b> (*), 9 (23.1) | 39, 8 (33.3) | 24, 1 ( 7.7) | 13,0 ( 0.0) | 2
<b>Bleeding / haemorrhage</b> (*), 6 (15.4) | 39, 1 ( 4.2) | 24, 5 (38.5) | 13,0 ( 0.0) | 2
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*), 1 (16.7) |  6, 0 ( 0.0) |  1, 1 (20.0) |  5,N/A
<b> Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Petechiae, 1 ( 2.6) | 39, 0 ( 0.0) | 24, 1 ( 7.7) | 13,0 ( 0.0) | 2
   ↳ Nose, 1 ( 2.6) | 39, 1 ( 4.2) | 24, 0 ( 0.0) | 13,0 ( 0.0) | 2
   ↳ Gums, 1 ( 2.6) | 39, 0 ( 0.0) | 24, 1 ( 7.7) | 13,0 ( 0.0) | 2
   ↳ GI tract, 4 (10.3) | 39, 1 ( 4.2) | 24, 3 (23.1) | 13,0 ( 0.0) | 2
<b>Headache</b> (*),20 (51.3) | 39,15 (62.5) | 24, 4 (30.8) | 13,1 (50.0) | 2
<b>Retro-orbital pain</b> (*), 3 ( 8.1) | 37, 3 (13.6) | 22, 0 ( 0.0) | 13,0 ( 0.0) | 2
<b>Seizures / convulsions</b> (*), 1 ( 2.7) | 37, 1 ( 4.3) | 23, 0 ( 0.0) | 12,0 ( 0.0) | 2
<b><i>VITAL SIGNS & ASSESSMENTS</i></b>,,,,
<b>Enter Vital Signs data for this date?</b> (*),37 (100.) | 37,24 (100.) | 24,13 (100.) | 13,N/A
<b>Highest temperature </b> (+),36.2 (36.0-36.7) | 37,36.2 (36.0-36.8) | 24,36.1 (36.0-36.2) | 13,N/A
<b>HR (beats/minute)</b> (+),64.0 (56.0-78.0) | 37,63.5 (56.8-70.0) | 24, 78.0 ( 53.0-100.0) | 13,N/A
<b>RR (bpm)</b> (+),18.0 (16.8-20.0) | 36,18.0 (16.0-18.0) | 24,20.0 (19.0-24.0) | 12,N/A
<b>Systolic BP (mmHg)</b> (+),126.0 (110.0-147.0) | 37,128.0 (116.5-146.5) | 24,112.0 ( 90.0-147.0) | 13,N/A
<b>Diastolic BP (mmHg)</b> (+),72.0 (65.0-80.0) | 37,75.5 (68.0-80.0) | 24,70.0 (65.0-90.0) | 13,N/A
<b>Lowest oxygen saturation SpO2 (%)</b> (+),96.0 (92.0-97.0) | 29,96.0 (95.0-97.0) | 17,94.0 (90.0-96.0) | 12,N/A
<b>Supplemental oxygen at point of SpO2 measured</b> (*),,,,
   ↳ Yes-nasal prongs, 4 (11.1) | 36, 2 ( 8.3) | 24, 2 (16.7) | 12,N/A
   ↳ Yes-IMV / ECMO, 4 (11.1) | 36, 0 ( 0.0) | 24, 4 (33.3) | 12,N/A
   ↳ No (Room air),28 (77.8) | 36,22 (91.7) | 24, 6 (50.0) | 12,N/A
<b>FiO2 at time of lowest SpO2 </b> (+),40.0 (27.0-70.8) |  8,23.5 (23.2-23.8) |  2,57.5 (35.0-82.2) |  6,N/A
<b>Capillary refill time >2 seconds</b> (*), 4 (11.1) | 36, 1 ( 4.2) | 24, 3 (25.0) | 12,N/A
<b>ACVPU</b> (*),,,,
   ↳ Alert,32 (86.5) | 37,23 (95.8) | 24, 9 (69.2) | 13,N/A
   ↳ Confusion, 2 ( 5.4) | 37, 1 ( 4.2) | 24, 1 ( 7.7) | 13,N/A
