Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,264,272,464
<b><i>TREATMENTS & INTERVENTIONS</i></b>,,,,
<b>Supplemental oxygen</b> (*), 152 (49.2) |  309, 42 (49.4) |  85, 39 (49.4) |  79, 71 (49.0) | 145
<b>Select all types of respiratory support the patient received (from 00:00 to 24:00) on the day of ...</b>,,,,
   ↳ Nasal prong,  62 (20.6) |  301, 22 (26.5) |  83, 15 (20.3) |  74, 25 (17.4) | 144
   ↳ Face mask,  88 (29.2) |  301, 25 (30.1) |  83, 17 (23.0) |  74, 46 (31.9) | 144
   ↳ High-flow nasal oxygen,  72 (23.9) |  301, 20 (24.1) |  83, 17 (23.0) |  74, 35 (24.3) | 144
   ↳ Non-invasive ventilation,  75 (24.9) |  301, 24 (28.9) |  83, 13 (17.6) |  74, 38 (26.4) | 144
   ↳ Invasive ventilation,  67 (22.3) |  301, 19 (22.9) |  83, 12 (16.2) |  74, 36 (25.0) | 144
   ↳ ECLS/ ECMO,  78 (25.9) |  301, 21 (25.3) |  83, 22 (29.7) |  74, 35 (24.3) | 144
   ↳ Unknown,  79 (26.2) |  301, 23 (27.7) |  83, 17 (23.0) |  74, 39 (27.1) | 144
<b>PaO2 sample type</b> (*),,,,
   ↳ Arterial,  27 (27.3) |   99,  9 (32.1) |  28,  6 (24.0) |  25, 12 (26.1) |  46
   ↳ Capillary,  19 (19.2) |   99,  6 (21.4) |  28,  3 (12.0) |  25, 10 (21.7) |  46
   ↳ Venous,  24 (24.2) |   99,  4 (14.3) |  28,  9 (36.0) |  25, 11 (23.9) |  46
   ↳ Not done,  29 (29.3) |   99,  9 (32.1) |  28,  7 (28.0) |  25, 13 (28.3) |  46
<b>PaO2 </b> (+),51.4 (27.5-71.8) |   97,63.5 (41.0-88.8) |  26,60.8 (32.6-75.0) |  23,46.0 (23.0-63.2) |  48
<b>FiO2 at time of PaO2 </b> (+),60.9 (28.9-75.5) |   93,58.9 (33.1-75.9) |  25,59.8 (33.6-74.0) |  24,62.5 (20.8-72.9) |  44
<b>Type of non-invasive respiratory support</b> (*),,,,
   ↳ CPAP,  15 (29.4) |   51,  6 (33.3) |  18,  1 (12.5) |   8,  8 (32.0) |  25
   ↳ BIPAP,  12 (23.5) |   51,  3 (16.7) |  18,  3 (37.5) |   8,  6 (24.0) |  25
   ↳ Other,  24 (47.1) |   51,  9 (50.0) |  18,  4 (50.0) |   8, 11 (44.0) |  25
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),  28 (53.8) |   52,  6 (50.0) |  12, 10 (62.5) |  16, 12 (50.0) |  24
   ↳ Veno-arterial (VA),  24 (46.2) |   52,  6 (50.0) |  12,  6 (37.5) |  16, 12 (50.0) |  24
<b>Prone positioning</b> (*), 161 (54.9) |  293, 43 (57.3) |  75, 41 (51.9) |  79, 77 (55.4) | 139
<b>When was the prone positioning?</b> (*),,,,
   ↳ During invasive ventilation,  48 (50.0) |   96, 10 (41.7) |  24, 16 (61.5) |  26, 22 (47.8) |  46
   ↳ Whilst self-ventilating,  48 (50.0) |   96, 14 (58.3) |  24, 10 (38.5) |  26, 24 (52.2) |  46
<b>Other intervention(s) or procedure(s)</b> (*), 150 (52.4) |  286, 40 (55.6) |  72, 43 (57.3) |  75, 67 (48.2) | 139
<b><i>INTERVENTIONS</i></b>,,,,
<b>Any supplemental oxygen?</b> (*), 320 (49.3) |  649, 89 (51.1) | 174, 89 (53.3) | 167,142 (46.1) | 308
<b>Select all types of respiratory support the patient received</b>,,,,
   ↳ Nasal prong, 147 (23.2) |  633, 38 (22.6) | 168, 43 (26.2) | 164, 66 (21.9) | 301
   ↳ Face mask, 159 (25.1) |  633, 38 (22.6) | 168, 48 (29.3) | 164, 73 (24.3) | 301
   ↳ High-flow nasal oxygen, 161 (25.4) |  633, 47 (28.0) | 168, 47 (28.7) | 164, 67 (22.3) | 301
   ↳ Non-invasive ventilation, 146 (23.1) |  633, 42 (25.0) | 168, 48 (29.3) | 164, 56 (18.6) | 301
   ↳ Invasive ventilation, 167 (26.4) |  633, 48 (28.6) | 168, 50 (30.5) | 164, 69 (22.9) | 301
   ↳ ECLS/ ECMO, 149 (23.5) |  633, 42 (25.0) | 168, 40 (24.4) | 164, 67 (22.3) | 301
   ↳ Unknown, 159 (25.1) |  633, 40 (23.8) | 168, 40 (24.4) | 164, 79 (26.2) | 301
<b>Maximum O2 flow volume (L/min)</b> (*),,,,
   ↳ <2 L/min,  36 (15.1) |  238, 13 (17.6) |  74,  7 (10.1) |  69, 16 (16.8) |  95
   ↳ 2-5 L/min,  53 (22.3) |  238, 18 (24.3) |  74, 16 (23.2) |  69, 19 (20.0) |  95
   ↳ 6-10 L/min,  37 (15.5) |  238, 17 (23.0) |  74,  9 (13.0) |  69, 11 (11.6) |  95
   ↳ 11-15 L/min,  59 (24.8) |  238, 17 (23.0) |  74, 19 (27.5) |  69, 23 (24.2) |  95
   ↳ >15 L/min,  53 (22.3) |  238,  9 (12.2) |  74, 18 (26.1) |  69, 26 (27.4) |  95
<b>Number of calendar days the patient received any respiratory support during admission</b> (+),52.0 (29.8-79.5) |  297,62.1 (36.2-82.3) |  85,52.7 (31.1-76.2) |  82,47.9 (25.9-78.8) | 130
<b>Type of non-invasive ventilation</b> (*),,,,
   ↳ CPAP,  46 (42.2) |  109, 13 (40.6) |  32, 18 (47.4) |  38, 15 (38.5) |  39
   ↳ BIPAP,  27 (24.8) |  109,  4 (12.5) |  32, 11 (28.9) |  38, 12 (30.8) |  39
   ↳ Other,  36 (33.0) |  109, 15 (46.9) |  32,  9 (23.7) |  38, 12 (30.8) |  39
<b>Number of calendar days the patient received non-invasive ventilation</b> (+),45.3 (20.3-68.9) |  141,45.7 (24.3-70.0) |  38,46.8 (17.1-68.5) |  48,42.2 (20.2-62.0) |  55
<b>Number of calendar days the patient received invasive ventilation</b> (+),47.0 (19.6-72.5) |  159,55.9 (21.8-78.2) |  44,45.1 (20.5-71.3) |  48,42.4 (17.0-70.6) |  67
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),  46 (50.5) |   91, 15 (55.6) |  27, 12 (52.2) |  23, 19 (46.3) |  41
   ↳ Veno-arterial (VA),  45 (49.5) |   91, 12 (44.4) |  27, 11 (47.8) |  23, 22 (53.7) |  41
<b>Number of calendar days the patient received ECLS / ECMO</b> (+),42.7 (21.6-72.0) |  142,42.1 (23.6-68.7) |  42,37.6 (11.5-69.1) |  38,59.8 (23.2-77.0) |  62
<b>Prone positioning</b> (*), 318 (48.8) |  651, 85 (46.2) | 184, 81 (51.9) | 156,152 (48.9) | 311
<b>Any surgical intervention performed in relation to the infection with pathogen of interest?</b> (*), 339 (51.5) |  658, 94 (57.3) | 164,101 (55.2) | 183,144 (46.3) | 311
<b>Was a second surgical intervention performed in relation to the infection with pathogen of interest?</b> (*), 118 (52.2) |  226, 31 (49.2) |  63, 35 (52.2) |  67, 52 (54.2) |  96
<b>Other intervention(s) or procedure(s)</b> (*), 309 (49.3) |  627, 87 (51.8) | 168, 73 (45.1) | 162,149 (50.2) | 297
