variable,proportion,label,short_label
adsym_dyspareunia,0.9808102345415778,<b>Painful intercourse (dyspareunia)</b>,<b>Painful intercourse (dyspareunia)</b>
adsym_visdist,0.9268617021276596,<b>Visual disturbance</b>,<b>Visual disturbance</b>
adsym_itchyeye,0.9181222707423581,<b>Itching of eye(s)</b>,<b>Itching of eye(s)</b>
adsym_rigchill,0.8813349814585909,<b>Chills or rigors</b>,<b>Chills or rigors</b>
adsym_paineyes,0.8654292343387471,<b>Pain in eye(s)</b>,<b>Pain in eye(s)</b>
adsym_nausea,0.8350923482849604,<b>Nausea</b>,<b>Nausea</b>
adsym_vomit,0.8318777292576419,<b>Vomiting</b>,<b>Vomiting</b>
adsym_fatigue,0.7801418439716312,<b>Fatigue / malaise / lethargy</b>,<b>Fatigue / malaise / lethargy</b>
adsym_weight,0.779639175257732,<b>Weight loss</b>,<b>Weight loss</b>
adsym_haemorrhag,0.6918859649122807,<b>Bleeding / haemorrhage</b>,<b>Bleeding / haemorrhage</b>
