Variable,All,Discharged,Death,Censored
<b>Totals</b>,39,24,13,2
<b><i>LABORATORY RESULTS</i></b>,,,,
<b>Enter Laboratory Results data for this date?</b> (*),37 (100.) | 37,24 (100.) | 24,13 (100.) | 13,N/A
<b>Haemoglobin </b> (+),14.3 (12.5-15.6) | 36,14.5 (13.2-15.4) | 23,14.2 (11.7-16.9) | 13,N/A
<b>WBC count (10^9/L)</b> (+),3060.0 ( 512.8-5255.0) | 35,3630.0 (1860.0-5945.0) | 23,1684.5 (  12.0-3155.0) | 12,N/A
<b>Neutrophils </b> (+),71.1 (58.9-84.3) | 36,68.5 (60.2-83.7) | 23,80.0 (58.0-84.4) | 13,N/A
<b>Lymphocytes </b> (+),16.8 (10.7-26.2) | 34,21.0 (11.2-29.7) | 23,13.5 (10.8-17.1) | 11,N/A
<b>Haematocrit </b> (+),40.9 (36.7-43.5) | 36,41.3 (38.2-42.6) | 23,39.7 (32.7-45.9) | 13,N/A
<b>Platelets </b> (+),121.0 ( 75.0-163.0) | 37,125.0 ( 92.0-186.5) | 24, 81.0 ( 66.0-124.0) | 13,N/A
<b>Prothrombin Time / PT (sec)</b> (+),14.5 (11.6-23.5) | 31,11.9 (11.4-14.7) | 21,27.2 (22.7-45.4) | 10,N/A
<b>Activated Partial Thromboplastin Time / APTT (sec)</b> (+),34.7 (30.6-48.1) | 33,33.5 (27.6-34.7) | 21,50.5 (45.7-55.1) | 12,N/A
<b>INR</b> (+),1.4 (1.1-2.5) | 33,1.1 (1.0-1.4) | 21,2.8 (2.1-5.2) | 12,N/A
<b>Fibrinogen </b> (+),136.0 ( 70.5-187.4) | 15,186.0 (119.1-221.0) |  9, 70.5 ( 37.7-130.7) |  6,N/A
<b>D-Dimer </b> (+), 9144.0 ( 4376.5-12078.0) | 15,5402.0 (2655.5-7750.0) |  7,11236.5 ( 9572.8-12389.0) |  8,N/A
<b>Total bilirubin </b> (+),1.8 (0.6-4.9) | 35,1.2 (0.6-2.8) | 23,4.9 (2.6-5.7) | 12,N/A
<b>ALT / SGPT (U/L)</b> (+),1675.0 ( 585.2-6407.5) | 34,1402.5 ( 371.5-2092.5) | 22,7714.0 (1740.5-9786.5) | 12,N/A
<b>AST / SGOT (U/L)</b> (+),1581.5 ( 627.5-7367.5) | 34,1107.0 ( 327.0-1995.2) | 22,10891.0 ( 3398.5-17552.2) | 12,N/A
<b>Gamma Glutamyl Transferase/GGT (U/L)</b> (+),219.0 (219.0-219.0) |  1,219.0 (219.0-219.0) |  1,N/A,N/A
<b>Albumin </b> (+),3.6 (3.2-3.8) | 15,3.6 (3.4-3.7) |  8,3.7 (3.0-3.8) |  7,N/A
<b>Random blood glucose </b> (+), 93.5 ( 78.3-121.0) | 25, 94.0 ( 80.0-105.0) | 17, 74.2 ( 52.7-122.0) |  8,N/A
<b>Urea / BUN </b> (+),14.2 (10.3-34.7) | 33,11.0 ( 8.2-16.5) | 21,32.1 (21.2-40.8) | 12,N/A
<b>Creatinine </b> (+),1.1 (0.8-1.7) | 33,0.9 (0.8-1.1) | 21,2.3 (1.2-5.3) | 12,N/A
<b>Sodium (mmol/L)</b> (+),137.8 (133.1-140.8) | 34,138.0 (136.2-140.8) | 22,133.1 (131.1-138.4) | 12,N/A
<b>Potassium (mmol/L)</b> (+),4.3 (4.0-4.9) | 34,4.2 (3.9-4.4) | 22,4.7 (4.0-5.8) | 12,N/A
<b>Creatine kinase (U/L)</b> (+),218.4 (156.6-280.2) |  2,218.4 (156.6-280.2) |  2,N/A,N/A
<b>Lactate dehydrogenase/LDH (U/L)</b> (+),1750.0 ( 548.8-6771.2) | 24,1110.5 ( 434.0-2523.8) | 16,10435.0 ( 3883.5-11993.2) |  8,N/A
<b>Procalcitonin (ng/mL)</b> (+),1.3 (0.9-2.4) |  7, 2.0 ( 1.5-19.6) |  3,1.1 (0.7-1.7) |  4,N/A
<b>CRP (mg/L)</b> (+), 527.3 (   3.5-2142.5) | 10, 922.3 (   6.5-2142.5) |  6, 517.5 (   4.5-1440.0) |  4,N/A
<b>Lactate </b> (+), 6.1 ( 3.5-12.1) |  9,3.4 (1.3-7.1) |  4, 8.8 ( 6.1-16.6) |  5,N/A
<b>PaCO2 </b> (+),31.8 (29.0-32.5) |  7,32.0 (31.9-32.5) |  3,29.0 (26.0-30.5) |  4,N/A
<b>pH</b> (+),7.3 (6.9-7.4) |  7,7.4 (7.1-7.4) |  3,7.1 (6.8-7.3) |  4,N/A
<b>Bicarbonate / HCO3- </b> (+), 7.6 ( 4.6-21.2) |  7,21.9 (12.6-22.5) |  3, 6.3 ( 4.8-10.8) |  4,N/A
<b>Base Excess (mmol/L)</b> (+),-23.4 (-27.2--15.7) |  4,-27.0 (-27.0--27.0) |  1,-19.9 (-23.8--11.6) |  3,N/A
<b>Ferritin </b> (+),18763.5 ( 6106.8-39722.0) | 12, 6539.5 ( 4813.5-26494.0) |  8,59675.5 (24509.8-96803.5) |  4,N/A
<b>Protein TP </b> (+),6.1 (5.8-6.4) |  4,6.0 (5.6-6.4) |  3,6.3 (6.3-6.3) |  1,N/A
