Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,278,82,640
<b><i>RESPIRATORY SUPPORT</i></b>,,,,
<b>Supplemental oxygen</b> (*),123 (13.6) | 903,29 (11.4) | 255,16 (21.6) | 74,78 (13.6) | 574
<b>Nasal prongs</b> (*),40 (37.4) | 107,12 (44.4) | 27,2 (14.3) | 14,26 (39.4) | 66
<b>Face mask</b> (*),79 (68.1) | 116,21 (77.8) | 27,12 (75.0) | 16,46 (63.0) | 73
<b>High flow nasal oxygen</b> (*),21 (21.2) | 99,4 (19.0) | 21,4 (28.6) | 14,13 (20.3) | 64
<b>Non-invasive ventilation</b> (*),35 (36.5) | 96,9 (36.0) | 25,4 (28.6) | 14,22 (38.6) | 57
<b>Type of non-invasive ventilation</b> (*),,,,
   ↳ CPAP,8 (33.3) | 24,2 (25.0) | 8,1 (33.3) | 3,5 (38.5) | 13
   ↳ BIPAP,9 (37.5) | 24,2 (25.0) | 8,2 (66.7) | 3,5 (38.5) | 13
   ↳ Other,7 (29.2) | 24,4 (50.0) | 8,0 (0.0) | 3,3 (23.1) | 13
<b>Invasive ventilation</b> (*),80 (90.9) | 88,15 (88.2) | 17,9 (81.8) | 11,56 (93.3) | 60
<b>ECLS / ECMO</b> (*),50 (47.2) | 106,11 (45.8) | 24,5 (38.5) | 13,34 (49.3) | 69
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),27 (73.0) | 37,8 (88.9) | 9,3 (60.0) | 5,16 (69.6) | 23
   ↳ Veno-arterial (VA),10 (27.0) | 37,1 (11.1) | 9,2 (40.0) | 5,7 (30.4) | 23
<b>Prone positioning</b> (*),812 (94.7) | 857,222 (94.9) | 234,72 (100.0) | 72,518 (94.0) | 551
<b>When was the prone positioning?</b> (*),,,,
   ↳ During invasive ventilation,238 (53.0) | 449,61 (54.0) | 113,20 (45.5) | 44,157 (53.8) | 292
   ↳ Whilst self-ventilating,211 (47.0) | 449,52 (46.0) | 113,24 (54.5) | 44,135 (46.2) | 292
<b>PaO2 sample type</b> (*),,,,
   ↳ Arterial,192 (25.8) | 744,61 (29.3) | 208,19 (29.7) | 64,112 (23.7) | 472
   ↳ Capillary,50 (6.7) | 744,10 (4.8) | 208,8 (12.5) | 64,32 (6.8) | 472
   ↳ Venous,115 (15.5) | 744,28 (13.5) | 208,9 (14.1) | 64,78 (16.5) | 472
   ↳ Not done,387 (52.0) | 744,109 (52.4) | 208,28 (43.8) | 64,250 (53.0) | 472
<b>PaO2 </b> (+),48.7 (23.4-75.1) | 346,46.3 (18.9-68.8) | 96,56.8 (30.3-90.6) | 33,48.4 (27.4-73.7) | 217
<b>FiO2 at time of PaO2 </b> (+),44.6 (21.8-71.7) | 337,48.5 (22.2-72.7) | 94,50.8 (22.5-76.9) | 33,41.4 (21.4-70.5) | 210
<b><i>INTERVENTIONS</i></b>,,,,
<b>Any surgical intervention performed in relation to the infection with pathogen of interest?</b> (*),589 (71.8) | 820,177 (75.6) | 234,44 (71.0) | 62,368 (70.2) | 524
<b>Was a second surgical intervention performed in relation to the infection with pathogen of interest?</b> (*),287 (60.7) | 473,95 (68.8) | 138,16 (44.4) | 36,176 (58.9) | 299
<b>Other intervention(s) or procedure(s)</b> (*),330 (43.0) | 767,90 (42.3) | 213,28 (40.0) | 70,212 (43.8) | 484
<b><i>RESPIRATORY SUPPORT</i></b>,,,,
<b>Any supplemental oxygen?</b> (*),708 (79.5) | 891,192 (76.8) | 250,60 (82.2) | 73,456 (80.3) | 568
<b>Number of calendar days the patient received any respiratory support during admission</b> (+),52.0 (24.9-77.7) | 665,53.6 (26.8-76.4) | 179,62.3 (22.8-81.6) | 53,51.3 (23.7-77.4) | 433
<b>Maximum O2 flow volume (L/min)</b> (*),,,,
   ↳ <2 L/min,198 (29.6) | 669,51 (27.9) | 183,14 (23.7) | 59,133 (31.1) | 427
