variable,proportion,label,short_label
adsym_pruritus,0.9416846652267818,<b>Itch / pruritus</b>,<b>Itch / pruritus</b>
adsym_haemorrhag,0.9101251422070534,<b>Bleeding / haemorrhage</b>,<b>Bleeding / haemorrhage</b>
adsym_myalgia,0.9072398190045249,<b>Muscle aches / myalgia</b>,<b>Muscle aches / myalgia</b>
adsym_anosmia,0.9033760186263097,<b>Loss of smell / anosmia</b>,<b>Loss of smell / anosmia</b>
adsym_rhinorrhoe,0.8900836320191159,<b>Runny nose / rhinorrhoea</b>,<b>Runny nose / rhinorrhoea</b>
adsym_skinrash,0.8599269183922046,<b>Skin rash</b>,<b>Skin rash</b>
adsym_redeye,0.8292383292383292,<b>Red / Pink eye(s)</b>,<b>Red / Pink eye(s)</b>
adsym_eyelightsensi,0.7619047619047619,<b>Sensitivity of eye to light</b>,<b>Sensitivity of eye to light</b>
adsym_vomit,0.7552836484983315,<b>Vomiting</b>,<b>Vomiting</b>
"adsym_mobile___Ambulant, but with some assistance",0.6969376979936642,"<b>Mobility status</b>, Ambulant, but with some assistance","<b>Mobility status</b>, Ambulant, but with some assistance"
