field_name,form_name,field_type,field_label,parent,branching_logic
subjid,presentation,freetext,Participant Identification Number (PIN),,
inclu,presentation,section,INCLUSION CRITERIA,,
inclu_disease,presentation,categorical,Suspected or confirmed infection,inclu,
inclu_disease___Chickenpox (Varicella),presentation,binary,Chickenpox (Varicella),inclu_disease,
inclu_disease___Herpes simplex virus infection (HSV),presentation,binary,Herpes simplex virus infection (HSV),inclu_disease,
inclu_disease___Human immunodeficiency virus infection (HIV infection),presentation,binary,Human immunodeficiency virus infection (HIV infection),inclu_disease,
inclu_disease___Mpox,presentation,binary,Mpox,inclu_disease,
inclu_disease___Other,presentation,binary,Other,inclu_disease,
inclu_disease_otherl3,presentation,freetext,Specify other Suspected or confirmed infection,inclu,[inclu_disease]='88'
inclu_case,presentation,categorical,Status of case,inclu,
inclu_case___Confirmed,presentation,binary,Confirmed,inclu_case,
inclu_case___Probable,presentation,binary,Probable,inclu_case,
inclu_case___Suspected,presentation,binary,Suspected,inclu_case,
inclu_case___Discarded,presentation,binary,Discarded,inclu_case,
inclu_case___Error,presentation,binary,Error,inclu_case,
inclu_testreason,presentation,categorical,Reason why the patient was tested,inclu,
inclu_testreason___Symptomatic,presentation,binary,Symptomatic,inclu_testreason,
"inclu_testreason___Asymptomatic, contact-traced",presentation,binary,"Asymptomatic, contact-traced",inclu_testreason,
"inclu_testreason___Asymptomatic, mass testing campaign",presentation,binary,"Asymptomatic, mass testing campaign",inclu_testreason,
inclu_testreason___Not tested,presentation,binary,Not tested,inclu_testreason,
inclu_testreason___Other,presentation,binary,Other,inclu_testreason,
inclu_testreason_otth,presentation,freetext,Specify other reason,inclu,[inclu_testreason]='88'
inclu_consentdes,presentation,freetext,Consent:,inclu,
inclu_consent,presentation,categorical,Participant (or their representative) has provided consent to participate in this study.,inclu,
inclu_consent___Yes,presentation,binary,Yes,inclu_consent,
"inclu_consent___No, participant did not agree to participate in the study",presentation,binary,"No, participant did not agree to participate in the study",inclu_consent,
"inclu_consent___No, the ethics committee approved a waiver of consent",presentation,binary,"No, the ethics committee approved a waiver of consent",inclu_consent,
inclu_consent_date,presentation,date,Date of consent,inclu,[inclu_consent]='1'
inclu_consent_who,presentation,categorical,Consent provided by,inclu,[inclu_consent]='1'
inclu_consent_who___Participant,presentation,binary,Participant,inclu_consent_who,[inclu_consent]='1'
inclu_consent_who___Consultee,presentation,binary,Consultee,inclu_consent_who,[inclu_consent]='1'
inclu_consent_who___Independent clinician,presentation,binary,Independent clinician,inclu_consent_who,[inclu_consent]='1'
inclu_consent2des,presentation,freetext,"Secondary use of data collected, the participant agreed with the following statements:",inclu,[inclu_consent]='1'
inclu_consent_secrsch,presentation,binary,"Future use of pseudonymised data in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
inclu_consent_secprod,presentation,binary,"Future use of pseudonymised data to manufacture tests, treatments or other products, including commercial products",inclu,[inclu_consent]='1'
inclu_consent_secgen,presentation,binary,"Future use of pseudonymised genetic data in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
inclu_consentsecsamp,presentation,freetext,"Secondary use of samples collected, the participant agreed with the following statements:  ",inclu,[inclu_consent]='1'
inclu_consent_secsamprsch,presentation,binary,"Future use of pseudonymised samples in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
inclu_consent_secsampprod,presentation,binary,"Future use of pseudonymised samples or materials or data derived from those samples to manufacture tests, treatments or other products, including commercial products",inclu,[inclu_consent]='1'
inclu_consent_secsampgen,presentation,binary,"Future use of pseudonymised genetic samples in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
inclu_consentcont,presentation,freetext,Contact  ,inclu,[inclu_consent]='1'
inclu_consent_contnstudy,presentation,binary,"To be contacted to participate in future work, including research studies",inclu,[inclu_consent]='1'
pres,presentation,section,ONSET & PRESENTATION,,
pres_onsetdate,presentation,date,Onset date of first / earliest symptom,pres,
pres_firstsym,presentation,checkbox,Symptom(s) during first 24 hours of illness (select all that apply),pres,
pres_firstsym___Fever,presentation,binary,Fever,pres_firstsym,
pres_firstsym___Mucosal lesion,presentation,binary,Mucosal lesion,pres_firstsym,
pres_firstsym___Skin lesion,presentation,binary,Skin lesion,pres_firstsym,
pres_firstsym___Other,presentation,binary,Other,pres_firstsym,
pres_firstsym_otherl2,presentation,categorical,Select Symptom(s) during first 24 hours of illness (select all that apply),pres,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Abdominal pain,presentation,binary,Abdominal pain,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Abnormal weight loss,presentation,binary,Abnormal weight loss,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Alopecia (Nonscarring hair loss),presentation,binary,Alopecia (Nonscarring hair loss),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Altered consciousness / Confusion (Disorientation),presentation,binary,Altered consciousness / Confusion (Disorientation),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Anorexia,presentation,binary,Anorexia,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Apnoea,presentation,binary,Apnoea,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Ascites,presentation,binary,Ascites,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Bleeding (Haemorrhage),presentation,binary,Bleeding (Haemorrhage),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Bruising (Spontaneous ecchymoses),presentation,binary,Bruising (Spontaneous ecchymoses),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Can't feel one side of the body or face (Hemiplegia),presentation,binary,Can't feel one side of the body or face (Hemiplegia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Can't fully move or control movement (Paralytic syndrome),presentation,binary,Can't fully move or control movement (Paralytic syndrome),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Cardiac arrhythmia,presentation,binary,Cardiac arrhythmia,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Changes in menstruation (Irregular menstruation),presentation,binary,Changes in menstruation (Irregular menstruation),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Changes in skin texture,presentation,binary,Changes in skin texture,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Chest pain,presentation,binary,Chest pain,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Chest pain on breathing,presentation,binary,Chest pain on breathing,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Chills (without fever),presentation,binary,Chills (without fever),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Cognitive impairment (Unspecified intellectual disabilities),presentation,binary,Cognitive impairment (Unspecified intellectual disabilities),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Conjunctivitis,presentation,binary,Conjunctivitis,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Constipation,presentation,binary,Constipation,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Convulsions,presentation,binary,Convulsions,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Cough,presentation,binary,Cough,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Diarrhea,presentation,binary,Diarrhea,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Difficulty eating or drinking (Dysphagia),presentation,binary,Difficulty eating or drinking (Dysphagia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Difficulty in walking,presentation,binary,Difficulty in walking,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Disorders of nose and nasal sinuses,presentation,binary,Disorders of nose and nasal sinuses,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Disturbance in attention (Altered mental status),presentation,binary,Disturbance in attention (Altered mental status),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Dizziness/light headedness (Dizziness and giddiness),presentation,binary,Dizziness/light headedness (Dizziness and giddiness),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Dry skin (Xerosis cutis),presentation,binary,Dry skin (Xerosis cutis),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Ear pain (Otalgia),presentation,binary,Ear pain (Otalgia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Erectile dysfunction,presentation,binary,Erectile dysfunction,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Fainting / blackouts (Syncope and collapse),presentation,binary,Fainting / blackouts (Syncope and collapse),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Feeding difficulty,presentation,binary,Feeding difficulty,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Gastrointestinal bleeding (Gastrointestinal hemorrhage),presentation,binary,Gastrointestinal bleeding (Gastrointestinal hemorrhage),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Headache,presentation,binary,Headache,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Hepatomegaly,presentation,binary,Hepatomegaly,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Increased thirst (Polydipsia),presentation,binary,Increased thirst (Polydipsia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Increased urination (polyuria),presentation,binary,Increased urination (polyuria),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Irritability,presentation,binary,Irritability,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Itchy eye,presentation,binary,Itchy eye,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Jaundice,presentation,binary,Jaundice,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Joint pain (Arthralgia),presentation,binary,Joint pain (Arthralgia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Limb weakness / paralysis (Monoplegia),presentation,binary,Limb weakness / paralysis (Monoplegia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Localized edema,presentation,binary,Localized edema,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Loss of appetite (Anorexia),presentation,binary,Loss of appetite (Anorexia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Loss of smell (Anosmia),presentation,binary,Loss of smell (Anosmia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Loss of taste (Parageusia),presentation,binary,Loss of taste (Parageusia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Lymphadenitis,presentation,binary,Lymphadenitis,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Malaise and fatigue,presentation,binary,Malaise and fatigue,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Mouth ulcers (Recurrent oral aphthae),presentation,binary,Mouth ulcers (Recurrent oral aphthae),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Muscle aches (Myalgia),presentation,binary,Muscle aches (Myalgia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Muscle weakness,presentation,binary,Muscle weakness,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Nasal congestion,presentation,binary,Nasal congestion,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Nausea or vomiting,presentation,binary,Nausea or vomiting,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
