Variable,All,Discharged,Death,Censored
<b>Totals</b>,1000,273,286,441
<b><i>TRAVEL HISTORY</i></b>,,,,
<b>Did the patient travel outside of their home region in the past 14 days?</b> (*), 302 (47.3) |  639, 95 (52.2) | 182, 86 (48.6) | 177,121 (43.2) | 280
<b><i>MEDICATION PREVIOUS 7-DAYS</i></b>,,,,
<b>Corticosteroid</b> (*), 295 (47.2) |  625, 77 (46.1) | 167, 78 (43.3) | 180,140 (50.4) | 278
<b>Corticosteroid</b> (*),,,,
   ↳ Other, 275 (100.) |  275, 71 (100.) |  71, 77 (100.) |  77,127 (100.) | 127
<b>Corticosteroid administration route</b> (*),,,,
   ↳ Oral,  43 (19.7) |  218,  8 (14.3) |  56, 17 (27.0) |  63, 18 (18.2) |  99
   ↳ Inhaled,  62 (28.4) |  218, 17 (30.4) |  56, 12 (19.0) |  63, 33 (33.3) |  99
   ↳ IV,  57 (26.1) |  218, 17 (30.4) |  56, 17 (27.0) |  63, 23 (23.2) |  99
   ↳ Topical,  56 (25.7) |  218, 14 (25.0) |  56, 17 (27.0) |  63, 25 (25.3) |  99
<b>Immunosuppressant agents (not corticosteroids)</b> (*), 311 (49.6) |  627, 87 (51.5) | 169, 77 (41.8) | 184,147 (53.6) | 274
<b>Select Immunosuppressant agents (not corticosteroids)</b> (*),,,,
   ↳ Other, 302 (100.) |  302, 84 (100.) |  84, 76 (100.) |  76,142 (100.) | 142
<b>Antibiotics</b> (*), 301 (48.9) |  616, 81 (47.4) | 171, 89 (48.4) | 184,131 (50.2) | 261
<b>Antibiotics</b> (*),,,,
"   ↳ Azithromycin (Sumamed, Zithromax, Zmax)",  81 (28.5) |  284, 20 (26.0) |  77, 23 (27.4) |  84, 38 (30.9) | 123
"   ↳ Ceftriaxone (Rocephin, Wintriaxone)", 101 (35.6) |  284, 32 (41.6) |  77, 33 (39.3) |  84, 36 (29.3) | 123
   ↳ Other, 102 (35.9) |  284, 25 (32.5) |  77, 28 (33.3) |  84, 49 (39.8) | 123
<b>NSAIDs</b> (*), 329 (50.7) |  649, 97 (55.1) | 176, 90 (47.4) | 190,142 (50.2) | 283
<b>NSAIDs</b> (*),,,,
   ↳ Other, 309 (100.) |  309, 93 (100.) |  93, 81 (100.) |  81,135 (100.) | 135
<b>Anticoagulant</b> (*), 307 (48.5) |  633, 77 (45.3) | 170, 98 (52.1) | 188,132 (48.0) | 275
<b>Intravenous fluid</b> (*), 305 (47.3) |  645,101 (54.3) | 186, 82 (45.8) | 179,122 (43.6) | 280
<b>Intravenous fluid type</b> (*),,,,
   ↳ Crystalloid,  49 (17.1) |  286, 18 (19.4) |  93, 11 (14.3) |  77, 20 (17.2) | 116
   ↳ Albumin,  45 (15.7) |  286, 15 (16.1) |  93, 11 (14.3) |  77, 19 (16.4) | 116
   ↳ Gelatin,  46 (16.1) |  286, 19 (20.4) |  93,  9 (11.7) |  77, 18 (15.5) | 116
   ↳ Starches,  59 (20.6) |  286, 16 (17.2) |  93, 20 (26.0) |  77, 23 (19.8) | 116
   ↳ Fibrinogen concentrate,  43 (15.0) |  286, 12 (12.9) |  93, 13 (16.9) |  77, 18 (15.5) | 116
   ↳ Other fluid,  44 (15.4) |  286, 13 (14.0) |  93, 13 (16.9) |  77, 18 (15.5) | 116
<b>Total intravenous fluid volume in the previous 24 hours (mL)</b> (+),52.3 (26.4-75.5) |  289,54.4 (29.3-74.0) |  98,51.7 (22.1-77.8) |  79,51.8 (27.6-74.4) | 112
<b>Indication / reason</b>,,,,
   ↳ Shock, 142 (22.4) |  634, 55 (30.2) | 182, 39 (22.0) | 177, 48 (17.5) | 275
   ↳ Other, 156 (24.6) |  634, 51 (28.0) | 182, 40 (22.6) | 177, 65 (23.6) | 275
   ↳ Unknown, 149 (23.5) |  634, 53 (29.1) | 182, 40 (22.6) | 177, 56 (20.4) | 275
<b>Additional intravenous fluid</b> (*),  95 (48.5) |  196, 31 (47.0) |  66, 25 (51.0) |  49, 39 (48.1) |  81
<b>Intravenous fluid type</b> (*),,,,
   ↳ Crystalloid,  17 (18.1) |   94,  9 (29.0) |  31,  5 (20.0) |  25,  3 ( 7.9) |  38
   ↳ Albumin,  14 (14.9) |   94,  4 (12.9) |  31,  4 (16.0) |  25,  6 (15.8) |  38
   ↳ Gelatin,  18 (19.1) |   94,  5 (16.1) |  31,  4 (16.0) |  25,  9 (23.7) |  38
   ↳ Starches,  20 (21.3) |   94,  6 (19.4) |  31,  4 (16.0) |  25, 10 (26.3) |  38
   ↳ Fibrinogen concentrate,  17 (18.1) |   94,  5 (16.1) |  31,  5 (20.0) |  25,  7 (18.4) |  38
   ↳ Other fluid,   8 ( 8.5) |   94,  2 ( 6.5) |  31,  3 (12.0) |  25,  3 ( 7.9) |  38
<b>Total intravenous fluid volume in the previous 24 hours (mL)</b> (+),46.5 (22.5-71.7) |   92,47.1 (24.4-73.2) |  31,36.6 (24.8-58.2) |  24,51.5 (18.5-72.3) |  37
<b> Specify other pathogen-targeted medications</b> (*),,,,
   ↳ Other, 326 (100.) |  326, 87 (100.) |  87, 86 (100.) |  86,153 (100.) | 153
<b><i>VITAL SIGNS & ASSESSMENTS ON ADMISSION</i></b>,,,,
<b>Enter Vital Signs data for admission?</b> (*), 459 (49.1) |  934,121 (48.6) | 249,124 (45.9) | 270,214 (51.6) | 415
