side,y_axis,stack_group,value,left_side
Female,0-5,Censored,56,True
Female,0-5,Death,40,True
Female,0-5,Discharged,29,True
Female,6-10,Censored,10,True
Female,6-10,Death,5,True
Female,6-10,Discharged,6,True
Female,11-15,Censored,5,True
Female,11-15,Death,1,True
Female,11-15,Discharged,2,True
Female,16-20,Censored,9,True
Female,16-20,Death,3,True
Female,21-25,Censored,1,True
Female,26-30,Discharged,1,True
Female,31-35,Censored,2,True
Female,31-35,Death,1,True
Female,31-35,Discharged,1,True
Female,36-40,Censored,2,True
Female,36-40,Death,2,True
Female,36-40,Discharged,1,True
Female,41-45,Censored,4,True
Female,41-45,Death,3,True
Female,41-45,Discharged,2,True
Female,46-50,Censored,1,True
Female,46-50,Death,2,True
Female,46-50,Discharged,1,True
Female,51-55,Censored,5,True
Female,51-55,Death,2,True
Female,51-55,Discharged,2,True
Female,56-60,Censored,1,True
Female,56-60,Discharged,1,True
Female,61-65,Censored,2,True
Female,66-70,Censored,1,True
Female,66-70,Discharged,2,True
Female,71-75,Death,2,True
Female,71-75,Discharged,1,True
Female,76-80,Censored,2,True
Female,76-80,Death,2,True
Female,76-80,Discharged,2,True
Female,81-85,Censored,2,True
Female,81-85,Death,1,True
Female,86-90,Censored,3,True
Female,86-90,Death,3,True
Female,86-90,Discharged,1,True
Female,91-95,Censored,2,True
Female,91-95,Death,3,True
Female,91-95,Discharged,1,True
Female,96-100,Censored,1,True
Female,96-100,Discharged,1,True
Male,0-5,Censored,58,False
Male,0-5,Death,41,False
Male,0-5,Discharged,44,False
Male,6-10,Censored,10,False
Male,6-10,Death,9,False
Male,6-10,Discharged,8,False
Male,11-15,Censored,2,False
Male,11-15,Death,1,False
Male,11-15,Discharged,1,False
Male,16-20,Censored,1,False
Male,16-20,Death,3,False
Male,16-20,Discharged,1,False
Male,21-25,Death,2,False
Male,21-25,Discharged,2,False
Male,26-30,Censored,2,False
Male,26-30,Death,1,False
Male,26-30,Discharged,1,False
Male,31-35,Discharged,1,False
Male,36-40,Censored,1,False
Male,36-40,Death,1,False
Male,41-45,Censored,2,False
Male,41-45,Death,1,False
Male,41-45,Discharged,1,False
Male,46-50,Censored,4,False
Male,46-50,Death,1,False
Male,46-50,Discharged,1,False
Male,51-55,Censored,1,False
Male,51-55,Death,1,False
Male,51-55,Discharged,2,False
Male,56-60,Censored,4,False
Male,56-60,Death,1,False
Male,61-65,Censored,3,False
Male,61-65,Death,3,False
Male,61-65,Discharged,1,False
Male,66-70,Censored,3,False
Male,66-70,Discharged,1,False
Male,71-75,Censored,1,False
Male,71-75,Discharged,2,False
Male,76-80,Censored,1,False
Male,81-85,Death,2,False
Male,81-85,Discharged,1,False
Male,86-90,Censored,2,False
Male,86-90,Death,3,False
Male,86-90,Discharged,1,False
Male,91-95,Censored,1,False
Male,91-95,Death,1,False
Male,91-95,Discharged,4,False
Male,96-100,Censored,1,False
Male,96-100,Death,1,False
Male,96-100,Discharged,2,False
