variable,proportion,label,short_label
comor_liverdisease_type___Mild,0.538860103626943,"<b>Type of liver disease</b>, Mild","<b>Type of liver disease</b>, Mild"
comor_diabetes_type2,0.536697247706422,<b>Type 2 diabetes mellitus</b>,<b>Type 2 diabetes mellitus</b>
comor_rheumatolo,0.5307692307692308,<b>Rheumatologic disorder</b>,<b>Rheumatologic disorder</b>
comor_tuberculos,0.5288611544461779,<b>Tuberculosis</b>,<b>Tuberculosis</b>
comor_smoking_form,0.5204081632653061,<b> Former smoker</b>,<b> Former smoker</b>
comor_diabetes_gdm,0.52,<b>Gestational diabetes mellitus</b>,<b>Gestational diabetes mellitus</b>
comor_diabetes_yn,0.517829457364341,<b>Diabetes mellitus</b>,<b>Diabetes mellitus</b>
comor_obesity,0.5171875,<b>Obesity</b>,<b>Obesity</b>
comor_malnutriti,0.5149136577708007,<b>Malnutrition</b>,<b>Malnutrition</b>
comor_chrneurolo,0.514866979655712,<b>Chronic neurological disorder</b>,<b>Chronic neurological disorder</b>
