index,count,label,short_label
unilateral,10,unilateral,unilateral
oval shape,6,oval shape,oval shape
homogenous cortex,5,homogenous cortex,homogenous cortex
distinct capsule,5,distinct capsule,distinct capsule
distinct hilum,4,distinct hilum,distinct hilum
peri-nodal reaction,4,peri-nodal reaction,peri-nodal reaction
blurry capsule,4,blurry capsule,blurry capsule
round shape,3,round shape,round shape
hypervascularity,2,hypervascularity,hypervascularity
necrosis,1,necrosis,necrosis
coalescence,1,coalescence,coalescence
