variable,proportion,label,short_label
sympt_feverplus,0.5647840531561462,<b>Fever / chills / rigors</b>,<b>Fever / chills / rigors</b>
sympt_chestpain,0.5525423728813559,<b>Chest pain</b>,<b>Chest pain</b>
sympt_neurodist,0.5443037974683544,<b>Psychological disturbance</b>,<b>Psychological disturbance</b>
sympt_confusion,0.5432098765432098,<b>Altered consciousness / confusion</b>,<b>Altered consciousness / confusion</b>
sympt_urine,0.53125,<b>Urinary retention</b>,<b>Urinary retention</b>
sympt_fatigue,0.5298013245033113,<b>Fatigue / malaise / lethargy</b>,<b>Fatigue / malaise / lethargy</b>
sympt_mobilchg,0.5217391304347826,<b>Change in mobility from baseline</b>,<b>Change in mobility from baseline</b>
sympt_sorethroat,0.5198675496688742,<b>Sore throat</b>,<b>Sore throat</b>
sympt_pruritus,0.5123456790123457,<b>Itch / pruritus</b>,<b>Itch / pruritus</b>
sympt_seizconv,0.5031055900621118,<b>Seizures / convulsions</b>,<b>Seizures / convulsions</b>
