side,y_axis,stack_group,value,left_side
Female,0-5,Censored,64,True
Female,0-5,Death,36,True
Female,0-5,Discharged,35,True
Male,0-5,Discharged,43,False
Male,0-5,Death,34,False
Male,0-5,Censored,57,False
Female,6-10,Censored,11,True
Female,6-10,Death,7,True
Female,6-10,Discharged,8,True
Male,6-10,Discharged,5,False
Male,6-10,Death,2,False
Male,6-10,Censored,13,False
Male,11-15,Censored,3,False
Male,11-15,Death,1,False
Male,11-15,Discharged,2,False
Female,11-15,Censored,1,True
Female,11-15,Death,1,True
Female,16-20,Discharged,1,True
Male,16-20,Discharged,1,False
Male,16-20,Censored,2,False
Female,16-20,Death,1,True
Female,16-20,Censored,3,True
Male,21-25,Censored,2,False
Female,21-25,Death,3,True
Female,21-25,Censored,1,True
Female,21-25,Discharged,1,True
Female,26-30,Censored,3,True
Male,26-30,Death,1,False
Male,26-30,Censored,4,False
Female,31-35,Censored,3,True
Male,31-35,Censored,4,False
Female,31-35,Discharged,1,True
Female,31-35,Death,1,True
Male,31-35,Death,1,False
Female,36-40,Discharged,1,True
Female,36-40,Death,2,True
Female,36-40,Censored,2,True
Male,36-40,Censored,2,False
Male,36-40,Death,5,False
Female,41-45,Discharged,3,True
Female,41-45,Censored,3,True
Male,41-45,Death,1,False
Male,41-45,Censored,1,False
Female,46-50,Death,2,True
Female,46-50,Discharged,1,True
Female,46-50,Censored,3,True
Male,46-50,Censored,2,False
Male,46-50,Discharged,3,False
Male,51-55,Censored,2,False
Male,51-55,Discharged,1,False
Female,51-55,Discharged,1,True
Female,51-55,Death,1,True
Female,51-55,Censored,2,True
Male,51-55,Death,3,False
Male,56-60,Death,2,False
Male,56-60,Discharged,1,False
Female,56-60,Discharged,3,True
Female,56-60,Death,4,True
Female,56-60,Censored,1,True
Male,61-65,Censored,1,False
Male,61-65,Discharged,2,False
Male,61-65,Death,1,False
Female,61-65,Censored,1,True
Female,61-65,Discharged,1,True
Female,66-70,Censored,3,True
Female,66-70,Death,1,True
Male,66-70,Censored,3,False
Male,66-70,Death,2,False
Female,71-75,Death,2,True
Female,71-75,Censored,1,True
Female,76-80,Death,2,True
Female,76-80,Censored,1,True
Male,76-80,Death,2,False
Female,76-80,Discharged,1,True
Female,81-85,Death,1,True
Female,81-85,Censored,1,True
Male,81-85,Death,1,False
Male,81-85,Censored,2,False
Female,81-85,Discharged,4,True
Male,86-90,Discharged,2,False
Male,86-90,Censored,1,False
Female,86-90,Discharged,2,True
Female,86-90,Death,2,True
Female,86-90,Censored,1,True
Female,91-95,Death,1,True
Female,91-95,Censored,2,True
Male,91-95,Censored,3,False
Male,91-95,Discharged,3,False
Female,96-100,Censored,2,True
Male,96-100,Death,1,False
Male,96-100,Censored,2,False
Female,96-100,Death,2,True
Male,96-100,Discharged,1,False
