Variable,All,Female,Male,Other / Unknown
<b>Totals</b>,1000,205,354,441
<b><i>DEMOGRAPHICS</i></b>,,,,
<b>Gender</b> (*),,,,
   ↳ Man,258 (40.1) | 644,46 (36.5) | 126,93 (40.1) | 232,119 (41.6) | 286
   ↳ Woman,320 (49.7) | 644,63 (50.0) | 126,114 (49.1) | 232,143 (50.0) | 286
   ↳ Non-binary,35 (5.4) | 644,9 (7.1) | 126,12 (5.2) | 232,14 (4.9) | 286
   ↳ Other,31 (4.8) | 644,8 (6.3) | 126,13 (5.6) | 232,10 (3.5) | 286
<b>Is the date of birth known?</b> (*),874 (91.3) | 957,177 (91.7) | 193,310 (90.9) | 341,387 (91.5) | 423
<b>Age</b> (+),36.3 (7.8-67.9) | 78,45.8 (28.4-71.2) | 16,28.8 (5.0-56.8) | 29,34.5 (1.8-78.5) | 33
<b>Height </b> (+),128.4 (64.2-191.4) | 959,123.2 (61.2-183.7) | 194,129.5 (68.6-195.7) | 340,129.7 (64.3-190.4) | 425
<b>Weight </b> (+),886.6 (465.6-1322.1) | 947,814.0 (453.1-1283.1) | 200,886.9 (514.6-1307.2) | 332,893.4 (451.4-1357.5) | 415
<b>Race (select all that apply)</b>,,,,
   ↳ Aboriginal/First Nations/Indigenous,482 (50.4) | 956,103 (55.1) | 187,159 (46.5) | 342,220 (51.5) | 427
   ↳ Arab,506 (52.9) | 956,95 (50.8) | 187,180 (52.6) | 342,231 (54.1) | 427
   ↳ Black or African Descent,479 (50.1) | 956,89 (47.6) | 187,171 (50.0) | 342,219 (51.3) | 427
"   ↳ Brown (Mixed/Multiracial, incl. Latin American Pardo)",496 (51.9) | 956,94 (50.3) | 187,168 (49.1) | 342,234 (54.8) | 427
   ↳ East Asian (incl. Brazilian Yellow/Amarelo),474 (49.6) | 956,98 (52.4) | 187,169 (49.4) | 342,207 (48.5) | 427
   ↳ Latin American or Hispanic,521 (54.5) | 956,100 (53.5) | 187,183 (53.5) | 342,238 (55.7) | 427
   ↳ South Asian,466 (48.7) | 956,91 (48.7) | 187,146 (42.7) | 342,229 (53.6) | 427
   ↳ South-East Asian,483 (50.5) | 956,98 (52.4) | 187,160 (46.8) | 342,225 (52.7) | 427
   ↳ West Asian,492 (51.5) | 956,90 (48.1) | 187,177 (51.8) | 342,225 (52.7) | 427
   ↳ White,472 (49.4) | 956,92 (49.2) | 187,171 (50.0) | 342,209 (48.9) | 427
   ↳ Other,506 (52.9) | 956,101 (54.0) | 187,175 (51.2) | 342,230 (53.9) | 427
<b>Does the patient practise any of these professions or a profession related to their infection</b> (*),,,,
   ↳ Abattoir Worker,122 (12.7) | 959,29 (14.6) | 198,38 (11.3) | 337,55 (13.0) | 424
   ↳ Beef Cattle Farm Worker,12 (1.3) | 959,5 (2.5) | 198,4 (1.2) | 337,3 (0.7) | 424
   ↳ Dairy Farm Worker,192 (20.0) | 959,45 (22.7) | 198,70 (20.8) | 337,77 (18.2) | 424
   ↳ Healthcare Worker,348 (36.3) | 959,77 (38.9) | 198,116 (34.4) | 337,155 (36.6) | 424
   ↳ Poultry Farm Worker,28 (2.9) | 959,4 (2.0) | 198,13 (3.9) | 337,11 (2.6) | 424
   ↳ Veterinarian,150 (15.6) | 959,22 (11.1) | 198,62 (18.4) | 337,66 (15.6) | 424
   ↳ Other,107 (11.2) | 959,16 (8.1) | 198,34 (10.1) | 337,57 (13.4) | 424
<b><i>CO-MORBIDITIES AND RISK FACTORS</i></b>,,,,
<b>Chronic neurological disorder</b> (*),828 (89.9) | 921,166 (88.8) | 187,294 (91.0) | 323,368 (89.5) | 411
<b>Dementia</b> (*),760 (95.2) | 798,154 (94.5) | 163,265 (95.3) | 278,341 (95.5) | 357
<b>Chronic cardiac disease (not hypertension)</b> (*),761 (95.2) | 799,154 (93.9) | 164,274 (95.5) | 287,333 (95.7) | 348
<b>Hypertension</b> (*),29 (3.3) | 880,8 (4.5) | 177,13 (4.2) | 313,8 (2.1) | 390
<b>Chronic pulmonary disease (not asthma)</b> (*),618 (65.8) | 939,129 (65.8) | 196,217 (65.2) | 333,272 (66.3) | 410
