side,y_axis,stack_group,value,left_side
Female,0-18,Discharged,1,True
Male,0-18,Discharged,5,False
Male,0-18,Censored,5,False
Male,0-18,Death,1,False
Male,18-40,Censored,4,False
Male,18-40,Discharged,1,False
Male,18-40,Death,1,False
Female,18-40,Discharged,3,True
Female,18-40,Death,2,True
Female,18-40,Censored,1,True
Male,41-80,Discharged,3,False
Male,41-80,Death,2,False
Male,41-80,Censored,4,False
Female,41-80,Censored,1,True
Female,41-80,Discharged,4,True
Female,81+,Discharged,2,True
Female,81+,Censored,2,True
Male,81+,Censored,1,False
Male,81+,Death,1,False
Male,81+,Discharged,1,False
Female,Unknown,Discharged,100,True
Female,Unknown,Death,22,True
Female,Unknown,Censored,67,True
Male,Unknown,Censored,126,False
Male,Unknown,Death,32,False
Male,Unknown,Discharged,167,False
